"ID","blank","pip","DIFF"
"1",718.5,698,-20.5
"2",466,474.5,8.5
"3",475.5,456,-19.5
"4",402,380,-22
"5",469,460,-9
"6",426.5,420.5,-6
"7",403,426.5,23.5
"8",415,430,15
"9",349.5,338,-11.5
"10",512.5,485.5,-27
"11",488.5,488,-0.5
"12",505,500,-5
"13",565,573.5,8.5
"14",478.5,464.5,-14
"15",422,413,-9
"16",392.5,380.5,-12
"17",432.5,398,-34.5
"18",386,351,-35
