acc,accuracy,accurate,actual_response,audio,audio_passed,average_response_time,avg_rt,background,bidi,breaking_variable,browser_codename,browser_name,browser_version,calib_loc_left192x,calib_loc_left192x_y,calib_loc_left320x,calib_loc_left320x_y,calib_loc_left480x,calib_loc_left480x_y,calib_loc_lowery,calib_loc_lowery_x,calib_loc_midy,calib_loc_midy_x,calib_loc_right192x,calib_loc_right192x_y,calib_loc_right320x,calib_loc_right320x_y,calib_loc_right480x,calib_loc_right480x_y,calib_loc_uppery_x,calib_loc_uppery_y,canvas_backend,card_mm,card_pix,clock_backend,color_backend,compensation,coordinates,correct,correct_audio_kbd,correct_dot_response_1,correct_response,correct_screen_key,correct_volume_kbd,count_adjust_volume,count_audio_check1,count_audio_check2,count_audio_check3,count_audio_check_failed,count_audio_check_res,count_audio_check_res_1,count_audio_check_start,count_audio_check_start2,count_audio_check_start2_1,count_audio_check_start_1,count_audio_final,count_audio_kbd,count_audio_loop,count_audio_loop_1,count_audio_loop_2,count_audio_play,count_audio_response,count_audio_response_text_3,count_audio_sequence,count_audio_sequence1,count_beeper,count_beeper_1,count_block_1_loop,count_block_one_end,count_block_two_loop,count_break_time_stamp,count_dot_calibration_instructions,count_dot_calibration_loop,count_dot_calibration_prep,count_dot_calibration_sequence,count_dot_calibration_x1,count_dot_calibration_x2,count_dot_calibration_x3,count_dot_calibration_x4,count_dot_calibration_x5,count_dot_calibration_x6,count_dot_calibration_y1,count_dot_calibration_y2,count_dot_calibration_y3,count_dot_response_1,count_dot_sav_x1,count_dot_sav_x2,count_dot_sav_x3,count_dot_sav_x4,count_dot_sav_x5,count_dot_sav_x6,count_dot_save_y1,count_dot_save_y2,count_dot_save_y3,count_experiment_end,count_experiment_sequence,count_experiment_start,count_initial_audio,count_initial_audio_1,count_initial_volume,count_instructions,count_java_global_prep,count_line_bisect_logger,count_line_bisection_intro,count_line_bisection_intro_1,count_main,count_osweb,count_outside_loop,count_outside_sequence,count_play_text,count_practice_loop,count_prep_1,count_prolific,count_repeat_cycle,count_screen_info,count_screen_key,count_screen_loop,count_screen_measurements,count_screen_sequence,count_volume_calib_instructions,count_volume_calibration,count_volume_kbd,count_volume_loop,count_volume_sequence,cursor_x,cursor_y,date_startdate,date_startdateUTC,date_starttime,datetime,description,disable_garbage_collection,dot_loc_left192x,dot_loc_left192x_y,dot_loc_left320x,dot_loc_left320x_y,dot_loc_left480x,dot_loc_left480x_y,dot_loc_lowery,dot_loc_lowery_x,dot_loc_midy,dot_loc_midy_x,dot_loc_right192x,dot_loc_right192x_y,dot_loc_right320x,dot_loc_right320x_y,dot_loc_right480x,dot_loc_right480x_y,dot_loc_uppery_x,dot_loc_uppery_y,empty_column,experiment_debug,experiment_parameters,experiment_path,experiment_pilot,experiment_taskname,experiment_taskversion,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,jatosStudyResultId,jatosVersion,keyboard_backend,line_y_pos,mouse_backend,opensesame_codename,opensesame_version,penwidth,pix_permm,repeat_cycle,reset_cursor_text,response,response_audio_check_start,response_audio_check_start2,response_audio_kbd,response_audio_play,response_dot_calibration_instructions,response_dot_response_1,response_mouseclick_done,response_screen_key,response_time,response_time_audio_check_start,response_time_audio_check_start2,response_time_audio_kbd,response_time_audio_play,response_time_dot_calibration_instructions,response_time_dot_response_1,response_time_screen_key,response_time_volume_calib_instructions,response_time_volume_kbd,response_volume_calib_instructions,response_volume_kbd,round_decimals,sampler_backend,screen_availableHeight,screen_availableWidth,screen_colorDepth,screen_height,screen_pixelDepth,screen_screenX,screen_screenY,screen_test_x1,screen_test_x2,screen_width,sessionid,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,system_os,time_adjust_volume,time_audio_check_start,time_audio_check_start2,time_audio_kbd,time_audio_loop,time_audio_loop_1,time_audio_loop_2,time_audio_play,time_audio_response_text_3,time_beeper,time_beeper_1,time_block_1_loop,time_block_two_loop,time_dot_calibration_instructions,time_dot_calibration_loop,time_dot_calibration_prep,time_dot_calibration_x1,time_dot_calibration_x2,time_dot_calibration_x3,time_dot_calibration_x4,time_dot_calibration_x5,time_dot_calibration_x6,time_dot_calibration_y1,time_dot_calibration_y2,time_dot_calibration_y3,time_dot_response_1,time_dot_sav_x1,time_dot_sav_x2,time_dot_sav_x3,time_dot_sav_x4,time_dot_sav_x5,time_dot_sav_x6,time_dot_save_y1,time_dot_save_y2,time_dot_save_y3,time_initial_audio,time_initial_volume,time_instructions,time_java_global_prep,time_line_bisect_logger,time_outside_loop,time_play_text,time_practice_loop,time_screen_info,time_screen_key,time_screen_loop,time_screen_measurements,time_volume_calib_instructions,time_volume_kbd,time_volume_loop,title,tot_accuracy,total_correct,total_response_time,total_responses,uniform_coordinates,vol,width
1,1,0,1,one_file,0,328,328,black,no,1,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",-86.04444444444445,-0.7111111111111111,-253.15555555555557,5.688888888888889,-464.35555555555555,2.1333333333333333,322.1333333333333,170.66666666666666,-7.111111111111111,164.9777777777778,430.22222222222223,1.4222222222222223,597.3333333333334,0,815.6444444444444,0.7111111111111111,174.93333333333334,-321.4222222222222,psycho,86,145,psycho,psycho,0,uniform,1,1,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,61,61,0,61,61,0,0,3,0,3,815.6444444444444,0.7111111111111111,11-09-22,11-09-22,16:01:24,Tue Oct 11 2022 16:01:24 GMT+0200 (Central European Summer Time),The main experiment item,yes,-192,0,-320,0,-480,0,320,0,0,0,192,0,320,0,480,0,0,-320,,0,0,/Users/au706616/Documents/Git/PIP/StimulusCode,0,0,0,no,mono,no,18,no,white,no,no,768,1051,3.7.4,psycho,0,psycho,osweb,1.4.4,1,1.686046511627907,0,click the dot,1,space,space,1,None,space,1,0,space,300,1436,2112,300,5018,1446,849,1245,1143,223,space,space,2,psycho,1055,1920,24,1080,24,1726,41,-450,-305,1920,1665496966528,1024,2,48000,-16,main,1,odd,MacIntel,28557,28558,30009,37165,74,74,74,32139,37165,28332,32137,74,74,15409,74,16863,20159,21058,21976,22742,24176,24998,16865,18393,19293,24998,21057,21974,22741,24174,24997,25857,18390,19291,20157,28557,25857,28333,58,37474,74,32139,74,15407,14148,74,14148,25859,28333,74,LBT,0,1,24955,76,yes,80,1024
1,1,0,2,two_file,0,329,329,black,no,1,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",-86.04444444444445,-0.7111111111111111,-253.15555555555557,5.688888888888889,-464.35555555555555,2.1333333333333333,322.1333333333333,170.66666666666666,-7.111111111111111,164.9777777777778,430.22222222222223,1.4222222222222223,597.3333333333334,0,815.6444444444444,0.7111111111111111,174.93333333333334,-321.4222222222222,psycho,86,145,psycho,psycho,0,uniform,1,1,,1,,,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,1,0,3,61,61,0,61,61,0,0,3,0,3,815.6444444444444,0.7111111111111111,11-09-22,11-09-22,16:01:24,Tue Oct 11 2022 16:01:24 GMT+0200 (Central European Summer Time),The main experiment item,yes,-192,0,-320,0,-480,0,320,0,0,0,192,0,320,0,480,0,0,-320,,0,0,/Users/au706616/Documents/Git/PIP/StimulusCode,0,0,0,no,mono,no,18,no,white,no,no,768,1051,3.7.4,psycho,0,psycho,osweb,1.4.4,1,1.686046511627907,0,click the dot,2,space,space,2,None,space,1,0,space,367,1436,2112,367,4956,1446,849,1245,1143,223,space,space,2,psycho,1055,1920,24,1080,24,1726,41,-450,-305,1920,1665496966528,1024,2,48000,-16,main,1,odd,MacIntel,28557,28558,30009,42453,74,74,74,37484,42453,28332,37483,74,74,15409,74,16863,20159,21058,21976,22742,24176,24998,16865,18393,19293,24998,21057,21974,22741,24174,24997,25857,18390,19291,20157,28557,25857,28333,58,42825,74,37484,74,15407,14148,74,14148,25859,28333,74,LBT,0,1,25322,77,yes,80,1024
1,1,0,1,one_file,0,329,329,black,no,1,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",-86.04444444444445,-0.7111111111111111,-253.15555555555557,5.688888888888889,-464.35555555555555,2.1333333333333333,322.1333333333333,170.66666666666666,-7.111111111111111,164.9777777777778,430.22222222222223,1.4222222222222223,597.3333333333334,0,815.6444444444444,0.7111111111111111,174.93333333333334,-321.4222222222222,psycho,86,145,psycho,psycho,0,uniform,1,1,,1,,,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,2,2,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,2,0,2,0,3,61,61,0,61,61,0,0,3,0,3,815.6444444444444,0.7111111111111111,11-09-22,11-09-22,16:01:24,Tue Oct 11 2022 16:01:24 GMT+0200 (Central European Summer Time),The main experiment item,yes,-192,0,-320,0,-480,0,320,0,0,0,192,0,320,0,480,0,0,-320,,0,0,/Users/au706616/Documents/Git/PIP/StimulusCode,0,0,0,no,mono,no,18,no,white,no,no,768,1051,3.7.4,psycho,0,psycho,osweb,1.4.4,1,1.686046511627907,0,click the dot,1,space,space,1,None,space,1,0,space,342,1436,2112,342,5006,1446,849,1245,1143,223,space,space,2,psycho,1055,1920,24,1080,24,1726,41,-450,-305,1920,1665496966528,1024,2,48000,-16,main,1,odd,MacIntel,28557,28558,30009,47856,74,74,74,42835,47856,28332,42834,74,74,15409,74,16863,20159,21058,21976,22742,24176,24998,16865,18393,19293,24998,21057,21974,22741,24174,24997,25857,18390,19291,20157,28557,25857,28333,58,48207,74,42835,74,15407,14148,74,14148,25859,28333,74,LBT,0,1,25664,78,yes,80,1024
1,1,0,2,two_file,0,330,330,black,no,1,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",-86.04444444444445,-0.7111111111111111,-253.15555555555557,5.688888888888889,-464.35555555555555,2.1333333333333333,322.1333333333333,170.66666666666666,-7.111111111111111,164.9777777777778,430.22222222222223,1.4222222222222223,597.3333333333334,0,815.6444444444444,0.7111111111111111,174.93333333333334,-321.4222222222222,psycho,86,145,psycho,psycho,0,uniform,1,1,,1,,,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,3,3,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,3,61,61,0,61,61,0,0,3,0,3,815.6444444444444,0.7111111111111111,11-09-22,11-09-22,16:01:24,Tue Oct 11 2022 16:01:24 GMT+0200 (Central European Summer Time),The main experiment item,yes,-192,0,-320,0,-480,0,320,0,0,0,192,0,320,0,480,0,0,-320,,0,0,/Users/au706616/Documents/Git/PIP/StimulusCode,0,0,0,no,mono,no,18,no,white,no,no,768,1051,3.7.4,psycho,0,psycho,osweb,1.4.4,1,1.686046511627907,0,click the dot,2,space,space,2,None,space,1,0,space,369,1436,2112,369,4960,1446,849,1245,1143,223,space,space,2,psycho,1055,1920,24,1080,24,1726,41,-450,-305,1920,1665496966528,1024,2,48000,-16,main,1,odd,MacIntel,28557,28558,30009,53184,74,74,74,48215,53184,28332,48214,74,74,15409,74,16863,20159,21058,21976,22742,24176,24998,16865,18393,19293,24998,21057,21974,22741,24174,24997,25857,18390,19291,20157,28557,25857,28333,58,53559,74,48215,74,15407,14148,74,14148,25859,28333,74,LBT,0,1,26033,79,yes,80,1024
1,1,0,3,three_file,0,331,331,black,no,1,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",-86.04444444444445,-0.7111111111111111,-253.15555555555557,5.688888888888889,-464.35555555555555,2.1333333333333333,322.1333333333333,170.66666666666666,-7.111111111111111,164.9777777777778,430.22222222222223,1.4222222222222223,597.3333333333334,0,815.6444444444444,0.7111111111111111,174.93333333333334,-321.4222222222222,psycho,86,145,psycho,psycho,0,uniform,1,1,,1,,,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4,4,4,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,4,0,4,0,3,61,61,0,61,61,0,0,3,0,3,815.6444444444444,0.7111111111111111,11-09-22,11-09-22,16:01:24,Tue Oct 11 2022 16:01:24 GMT+0200 (Central European Summer Time),The main experiment item,yes,-192,0,-320,0,-480,0,320,0,0,0,192,0,320,0,480,0,0,-320,,0,0,/Users/au706616/Documents/Git/PIP/StimulusCode,0,0,0,no,mono,no,18,no,white,no,no,768,1051,3.7.4,psycho,0,psycho,osweb,1.4.4,1,1.686046511627907,0,click the dot,3,space,space,3,None,space,1,0,space,434,1436,2112,434,5008,1446,849,1245,1143,223,space,space,2,psycho,1055,1920,24,1080,24,1726,41,-450,-305,1920,1665496966528,1024,2,48000,-16,main,1,odd,MacIntel,28557,28558,30009,58587,74,74,74,53567,58587,28332,53566,74,74,15409,74,16863,20159,21058,21976,22742,24176,24998,16865,18393,19293,24998,21057,21974,22741,24174,24997,25857,18390,19291,20157,28557,25857,28333,58,59025,74,53567,74,15407,14148,74,14148,25859,28333,74,LBT,0,1,26467,80,yes,80,1024
1,1,0,3,three_file,0,332,332,black,no,1,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",-86.04444444444445,-0.7111111111111111,-253.15555555555557,5.688888888888889,-464.35555555555555,2.1333333333333333,322.1333333333333,170.66666666666666,-7.111111111111111,164.9777777777778,430.22222222222223,1.4222222222222223,597.3333333333334,0,815.6444444444444,0.7111111111111111,174.93333333333334,-321.4222222222222,psycho,86,145,psycho,psycho,0,uniform,1,1,,1,,,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,5,5,5,6,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,5,0,5,0,3,61,61,0,61,61,0,0,3,0,3,815.6444444444444,0.7111111111111111,11-09-22,11-09-22,16:01:24,Tue Oct 11 2022 16:01:24 GMT+0200 (Central European Summer Time),The main experiment item,yes,-192,0,-320,0,-480,0,320,0,0,0,192,0,320,0,480,0,0,-320,,0,0,/Users/au706616/Documents/Git/PIP/StimulusCode,0,0,0,no,mono,no,18,no,white,no,no,768,1051,3.7.4,psycho,0,psycho,osweb,1.4.4,1,1.686046511627907,0,click the dot,3,space,space,3,None,space,1,0,space,407,1436,2112,407,5006,1446,849,1245,1143,223,space,space,2,psycho,1055,1920,24,1080,24,1726,41,-450,-305,1920,1665496966528,1024,2,48000,-16,main,1,odd,MacIntel,28557,28558,30009,64059,74,74,74,59035,64059,28332,59034,74,74,15409,74,16863,20159,21058,21976,22742,24176,24998,16865,18393,19293,24998,21057,21974,22741,24174,24997,25857,18390,19291,20157,28557,25857,28333,58,64476,74,59035,74,15407,14148,74,14148,25859,28333,74,LBT,0,1,26874,81,yes,80,1024
